"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 20, 2017","119.80","120.63","121.15","119.80","-","-0.62%"
"Jun 19, 2017","120.55","120.30","120.78","120.01","-","0.89%"
"Jun 16, 2017","119.49","119.28","119.81","119.15","-","0.46%"
"Jun 15, 2017","118.94","119.41","119.41","118.23","-","-0.47%"
"Jun 14, 2017","119.50","119.95","120.70","119.50","-","-0.45%"
"Jun 13, 2017","120.04","120.74","120.79","119.88","-","-0.27%"
"Jun 12, 2017","120.36","119.92","120.80","119.92","-","-0.22%"
"Jun 09, 2017","120.63","120.20","121.03","119.82","-","1.08%"
"Jun 08, 2017","119.34","119.86","120.03","119.34","-","-0.41%"
"Jun 07, 2017","119.83","120.53","121.10","119.82","-","-0.68%"
"Jun 06, 2017","120.65","120.36","120.66","120.24","-","0.10%"
"Jun 05, 2017","120.53","121.04","121.04","120.43","-","-0.25%"
"Jun 02, 2017","120.83","121.29","121.69","120.71","-","0.11%"
"Jun 01, 2017","120.70","120.71","120.98","120.56","-","0.29%"
"May 31, 2017","120.35","120.56","121.50","120.35","-","-0.10%"
"May 30, 2017","120.47","120.31","120.60","120.01","-","-0.32%"
"May 29, 2017","120.86","120.82","120.86","120.82","-","0.00%"
"May 26, 2017","120.86","120.34","120.97","120.27","-","0.45%"
"May 25, 2017","120.32","120.51","120.54","120.05","-","0.04%"
"May 24, 2017","120.27","119.75","120.35","119.59","-","0.44%"
"May 23, 2017","119.74","119.83","120.38","119.74","-","-0.18%"
"May 22, 2017","119.95","120.01","120.30","119.87","-","0.16%"
"May 19, 2017","119.76","119.55","119.92","119.49","-","0.49%"
"May 18, 2017","119.18","119.72","119.89","118.40","-","-0.83%"
"May 17, 2017","120.18","120.22","120.80","119.79","-","-0.35%"
"May 16, 2017","120.60","119.32","120.79","119.32","-","1.08%"
"May 15, 2017","119.31","119.14","119.36","118.99","-","0.31%"
"May 12, 2017","118.94","118.38","118.94","118.16","-","0.75%"
"May 11, 2017","118.06","117.93","118.20","117.80","-","0.02%"
"May 10, 2017","118.04","117.37","118.23","117.13","-","0.61%"
"May 09, 2017","117.33","116.71","117.60","116.67","-","0.64%"
"May 08, 2017","116.58","116.62","116.90","116.40","-","-0.05%"
"May 05, 2017","116.64","115.63","116.64","115.57","-","0.56%"
"May 04, 2017","115.99","116.14","116.45","115.64","-","0.22%"
"May 03, 2017","115.74","115.80","115.88","115.51","-","-0.21%"
"May 02, 2017","115.98","115.74","116.12","115.71","-","0.56%"
"May 01, 2017","115.33","115.42","115.42","115.33","-","0.00%"
"Apr 28, 2017","115.33","115.89","115.99","115.20","-","-0.48%"
"Apr 27, 2017","115.89","116.41","116.47","115.73","-","-0.85%"
"Apr 26, 2017","116.88","116.51","117.10","116.46","-","0.16%"
"Apr 25, 2017","116.69","116.43","116.95","116.43","-","0.23%"
"Apr 24, 2017","116.42","115.60","116.58","115.59","-","2.11%"
"Apr 21, 2017","114.01","114.12","114.35","113.84","-","-0.04%"
"Apr 20, 2017","114.06","113.71","114.20","113.71","-","0.13%"
"Apr 19, 2017","113.91","114.30","114.51","113.91","-","-0.48%"
"Apr 18, 2017","114.46","117.32","117.32","114.46","-","-2.66%"
"Apr 17, 2017","117.59","117.49","117.59","117.49","-","0.00%"
"Apr 14, 2017","117.59","117.59","117.59","117.59","-","0.00%"
"Apr 13, 2017","117.59","117.73","117.75","117.17","-","-0.37%"
"Apr 12, 2017","118.03","118.26","118.93","118.03","-","-0.23%"
"Apr 11, 2017","118.30","117.82","118.98","117.82","-","0.18%"
"Apr 10, 2017","118.09","118.03","118.31","117.95","-","-0.04%"
"Apr 07, 2017","118.14","117.16","118.14","117.11","-","0.58%"
"Apr 06, 2017","117.46","116.95","117.75","116.84","-","-0.48%"
"Apr 05, 2017","118.03","118.22","118.59","117.90","-","0.12%"
"Apr 04, 2017","117.89","117.51","117.93","117.43","-","0.55%"
"Apr 03, 2017","117.25","118.29","118.33","117.23","-","-0.54%"
"Mar 31, 2017","117.89","118.23","118.36","117.89","-","-0.71%"
"Mar 30, 2017","118.73","118.93","118.98","118.24","-","-0.09%"
"Mar 29, 2017","118.84","118.80","118.84","117.88","-","0.43%"
"Mar 28, 2017","118.33","117.81","118.41","117.43","-","0.70%"
"Mar 27, 2017","117.51","117.23","117.54","116.92","-","-0.64%"
"Mar 24, 2017","118.27","118.30","118.43","118.06","-","0.00%"
"Mar 23, 2017","118.27","118.09","118.38","117.77","-","0.17%"
"Mar 22, 2017","118.07","118.16","118.33","117.71","-","-0.71%"
"Mar 21, 2017","118.91","119.90","119.96","118.67","-","-0.75%"
"Mar 20, 2017","119.81","119.43","119.87","119.34","-","0.06%"
"Mar 17, 2017","119.74","119.46","120.09","119.42","-","0.11%"
"Mar 16, 2017","119.61","119.37","120.07","119.37","-","0.67%"
"Mar 15, 2017","118.81","118.84","119.04","118.73","-","0.13%"
